]0;IPython: MlProject/fashionmnisttrain_y:  [[0. 0. 1. ... 0. 0. 0.]
 [0. 0. 0. ... 0. 0. 1.]
 [0. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 0. ... 1. 0. 0.]]
train_y.shape:  (60000, 10)
WARNING:tensorflow:From /home/saichanda/Desktop/Sem2/ML/MlProject/fashionmnist/simple_mlp_tensorflow.py:64: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See tf.nn.softmax_cross_entropy_with_logits_v2.

running init

None
running w_1

(785, 256)
running w_2

(256, 10)
Epoch = 1, train accuracy = 76.77%, test accuracy = 76.25%
Epoch = 2, train accuracy = 79.84%, test accuracy = 79.83%
Epoch = 3, train accuracy = 80.81%, test accuracy = 80.99%
Epoch = 4, train accuracy = 81.60%, test accuracy = 81.28%
Epoch = 5, train accuracy = 82.02%, test accuracy = 82.02%
Epoch = 6, train accuracy = 82.46%, test accuracy = 82.37%
Epoch = 7, train accuracy = 83.26%, test accuracy = 83.00%
Epoch = 8, train accuracy = 83.41%, test accuracy = 83.16%
Epoch = 9, train accuracy = 83.31%, test accuracy = 82.94%
Epoch = 10, train accuracy = 83.36%, test accuracy = 82.77%
Epoch = 11, train accuracy = 83.56%, test accuracy = 82.83%
Epoch = 12, train accuracy = 84.02%, test accuracy = 83.62%
Epoch = 13, train accuracy = 84.01%, test accuracy = 83.57%
Epoch = 14, train accuracy = 84.19%, test accuracy = 83.85%
Epoch = 15, train accuracy = 84.41%, test accuracy = 84.18%
Epoch = 16, train accuracy = 84.44%, test accuracy = 84.08%
Epoch = 17, train accuracy = 84.55%, test accuracy = 84.56%
Epoch = 18, train accuracy = 84.75%, test accuracy = 84.37%
Epoch = 19, train accuracy = 85.19%, test accuracy = 84.50%
Epoch = 20, train accuracy = 85.14%, test accuracy = 84.72%
Epoch = 21, train accuracy = 85.22%, test accuracy = 85.09%
Epoch = 22, train accuracy = 85.39%, test accuracy = 85.27%
Epoch = 23, train accuracy = 85.56%, test accuracy = 84.94%
Epoch = 24, train accuracy = 85.63%, test accuracy = 84.88%
Epoch = 25, train accuracy = 85.41%, test accuracy = 85.22%
Epoch = 26, train accuracy = 85.68%, test accuracy = 85.17%
Epoch = 27, train accuracy = 85.79%, test accuracy = 85.61%
Epoch = 28, train accuracy = 85.92%, test accuracy = 85.54%
Epoch = 29, train accuracy = 86.09%, test accuracy = 85.58%
Epoch = 30, train accuracy = 85.77%, test accuracy = 85.43%
