Epoch = 1, train accuracy = 73.83%, test accuracy = 73.40%
Epoch = 2, train accuracy = 76.18%, test accuracy = 75.56%
Epoch = 3, train accuracy = 77.57%, test accuracy = 77.01%
Epoch = 4, train accuracy = 78.56%, test accuracy = 77.75%
Epoch = 5, train accuracy = 79.13%, test accuracy = 78.47%
Epoch = 6, train accuracy = 79.45%, test accuracy = 78.72%
Epoch = 7, train accuracy = 79.85%, test accuracy = 78.78%
Epoch = 8, train accuracy = 80.20%, test accuracy = 79.30%
Epoch = 9, train accuracy = 80.44%, test accuracy = 79.59%
Epoch = 10, train accuracy = 80.66%, test accuracy = 79.85%
...
Epoch = 90, train accuracy = 85.07%, test accuracy = 82.81%
Epoch = 91, train accuracy = 85.08%, test accuracy = 82.80%
Epoch = 92, train accuracy = 85.10%, test accuracy = 82.83%
Epoch = 93, train accuracy = 85.13%, test accuracy = 82.84%
Epoch = 94, train accuracy = 85.14%, test accuracy = 82.83%
Epoch = 95, train accuracy = 85.15%, test accuracy = 82.82%
Epoch = 96, train accuracy = 85.17%, test accuracy = 82.83%
Epoch = 97, train accuracy = 85.18%, test accuracy = 82.84%
Epoch = 98, train accuracy = 85.20%, test accuracy = 82.85%
Epoch = 99, train accuracy = 85.22%, test accuracy = 82.88%
Epoch = 100, train accuracy = 85.24%, test accuracy = 82.87%
